tco_code,tco_labe,tco_ewallet,tco_vtc_code,tco_cent_sign,tco_chld_sign,tco_merc_sign,tco_revo_flag,tco_pre_paid_flag,tco_acqu_bank_sign,tco_issu_bank_sign,updated_at
40037,Flexi LTF Reversal,N,40.0,,C,D,A,N,,,2024-08-07 07:05:16.809
40038,LTF WSS Cancel Transaction,N,40.0,,C,D,A,N,,,2024-08-07 07:05:16.809
43000,CardLess Withdrawal,,,,D,C,A,A,,,2024-08-07 07:05:16.809
71001,Merchant Service Fee Debit Adjustment,N,,,,D,,,,,2024-08-07 07:05:16.809
71501,Insurance Claim Payout Adjustment - Customer,N,,,D,,A,,,,2024-08-07 07:05:16.809
71502,Interest Adjustment Debit,N,,,D,,A,,,,2024-08-07 07:05:16.809
71503,Bad Debt Write Off Adjustment,N,,,D,,A,,,,2024-08-07 07:05:16.809
71504,Bad Debt Recovered Adjustment,N,,,D,,A,,,,2024-08-07 07:05:16.809
71505,Fraud Recovery Adjustment,N,,,D,,A,,,,2024-08-07 07:05:16.809
71506,Fraud Write Off Adjustment,N,,,D,,A,,,,2024-08-07 07:05:16.809
72001,Merchant Service Fee Credit Adjustment,N,,,,C,,,,,2024-08-07 07:05:16.809
72002,Merchant Reprocess Payout - Credit Adjustment,N,,,,C,,,,,2024-08-07 07:05:16.809
72501,Insurance Claim Payout - Customer,N,,,C,,A,,,,2024-08-07 07:05:16.809
72502,Interest Adjustment Credit,N,,,C,,A,,,,2024-08-07 07:05:16.809
72503,Bad Debt Write Off,N,,,C,,A,,,,2024-08-07 07:05:16.809
72504,Bad Debt Recovered,N,,,C,,A,,,,2024-08-07 07:05:16.809
72505,Fraud Recovery,N,,,C,,A,,,,2024-08-07 07:05:16.809
72506,Fraud Write Off,N,,,C,,A,,,,2024-08-07 07:05:16.809
72507,LTF Cancellation Fee Credit,N,,,C,,A,,,,2024-08-07 07:05:16.809
72508,LTF Cancellation,N,,,C,,A,,,,2024-08-07 07:05:16.809
73010,Biller Fee,B,,,,,,,,,2024-08-07 07:05:16.809
73011,Discount Fee,B,,,,,,,,,2024-08-07 07:05:16.809
73100,Acquirer To Dealer Deposit,Y,,,,C,,,,,2024-08-07 07:05:16.809
73101,Acquirer To Dealer Deposit Refund,Y,,,,D,,,,,2024-08-07 07:05:16.809
73102,Distribution to dealer,Y,,,,D,,,,,2024-08-07 07:05:16.809
73103,Distribution to agent,Y,,,,D,,,,,2024-08-07 07:05:16.809
73104,Deposit from parent dealer,Y,,,,C,,,,,2024-08-07 07:05:16.809
73105,Deposit from dealer,Y,,,,C,,,,,2024-08-07 07:05:16.809
73106,Refund Distribution to agent,Y,,,,C,,,,,2024-08-07 07:05:16.809
73107,Refund Deposit from dealer,Y,,,,D,,,,,2024-08-07 07:05:16.809
73108,Refund Distribution to dealer,Y,,,,C,,,,,2024-08-07 07:05:16.809
73109,Refund Deposit from parent dealer,Y,,,,D,,,,,2024-08-07 07:05:16.809
73300,Biller E-Voucher Deposit,Y,,,,,,,,,2024-08-07 07:05:16.809
73301,Biller E-Voucher Deposit Refund,Y,,,,,,,,,2024-08-07 07:05:16.809
73400,Bill Payment Card,B,,,D,C,,,,,2024-08-07 07:05:16.809
73401,Bill Payment Cash,Y,,,D,D,,,,,2024-08-07 07:05:16.809
73500,Online E-Voucher Card,B,,,D,C,,,,,2024-08-07 07:05:16.809
73501,Online E-Voucher Cash,Y,,,D,D,,,,,2024-08-07 07:05:16.809
73504,E-TopUp Card,B,,,D,C,,,,,2024-08-07 07:05:16.809
73505,E-TopUp Cash,Y,,,D,D,,,,,2024-08-07 07:05:16.809
73550,Offline E-Voucher Card,B,,,D,C,,,,,2024-08-07 07:05:16.809
73551,Offline E-Voucher Cash,Y,,,D,D,,,,,2024-08-07 07:05:16.809
73604,Cash In,Y,25.0,,C,D,A,A,,,2024-08-07 07:05:16.809
73900,Pre-Paid Card Request,Y,,,C,D,,,,,2024-08-07 07:05:16.809
73901,E-Commerce Card Request,Y,,,C,D,,,,,2024-08-07 07:05:16.809
73902,Pre-Paid Card Link,Y,,,C,D,,,,,2024-08-07 07:05:16.809
